article_id,new_general_yi,new_special_yi,refinance_yi
60990,15.26,17.98,72.53
60989,29.32,0.0,0.0
61015,0.0,0.0,35.0
61265,0.0,232.64,0.0
61003,0.0,52.57,4.5
61045,0.0,0.0,0.0
61073,0.0,0.0,164.66
61266,0.0,173.34,176.45
60970,0.0,300.0,270.16
63778,0.0,319.69,0.0
60956,55.0,3.5,60.86
60955,0.0,0.0,0.0
60960,203.0,117.0,0.0
60943,0.0,0.0,0.0
60942,0.0,0.0,0.0
60938,0.0,0.0,0.0
60931,0.0,84.6,382.1
60928,0.0,513.51,0.0
60927,0.0,52.02,35.71
60871,0.0,0.0,194.0
60870,0.0,0.0,161.88
60869,23.16,73.67,0.0
60862,0.0,0.0,0.0
60831,0.0,18.42,64.19
60828,0.0,0.0,137.9
60791,0.0,48.9,0.0
60790,0.0,27.2,13.0
60789,39.0,149.88,0.0
60765,0.0,0.0,176.69
60760,,,
60743,10.0,0.0,50.5
60742,0.0,0.0,0.0
60741,0.0,75.0,0.0
60740,30.0,0.0,38.47
60722,0.0,0.0,220.78
60721,0.0,0.0,0.0
60720,83.35,443.02,0.0
60719,0.0,0.0,308.4
60340,0.0,100.0,39.9
60339,0.0,100.0,5.29
60334,50.0,50.0,0.0
60332,0.0,300.0,285.0
60325,0.0,0.0,44.55
60309,0.0,0.0,0.0
60307,0.0,159.0,51.0
60300,0.0,200.0,10.8
60749,0.0,0.0,0.0
